tconst,averageRating,numVotes,primaryTitle,originalTitle,runtimeMinutes,box office,released,Action,Crime,Drama,Adventure,Romance,Comedy,Sci-Fi,Animation,Family,Thriller,Horror,Mystery,Biography,History,Fantasy,Sport,Music,Documentary,War,Western,Musical,News
tt1720172,4.5,1451.0,Munger Road,Munger Road,86,266190,30 Sep 2011,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
tt1720182,6.8,6847.0,October Baby,October Baby,107,5355847,12 Apr 2013,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1720254,4.8,4571.0,Thank You,Thank You,125,462609,08 Apr 2011,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1720616,6.1,39179.0,Friends with Kids,Friends with Kids,107,5600000,16 Mar 2012,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1723120,6.2,1051.0,Viva Riva!,Viva Riva!,98,61759,07 Sep 2011,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tt1723121,7.0,368032.0,We're the Millers,We're the Millers,110,144900000,07 Aug 2013,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1723126,7.5,1628.0,Last Days Here,Last Days Here,91,6695,29 Apr 2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
tt1723811,7.2,169950.0,Shame,Shame,101,2971782,13 Jan 2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1724965,4.6,990.0,Innocence,Innocence,96,292824,11 Jan 2016,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
tt1726669,6.7,67351.0,Killer Joe,Killer Joe,102,1800000,29 Jun 2012,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tt1726738,6.2,2008.0,Sacrifice,Zhao shi gu er,122,27899,27 Jul 2012,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tt1726861,6.7,4620.0,The Prey,La proie,102,5889,07 Jun 2013,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1726888,7.1,2128.0,Clandestine Childhood,Infancia clandestina,112,9017,20 Sep 2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1727300,6.2,1055.0,Hunky Dory,Hunky Dory,110,14174,22 Mar 2013,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt1727388,7.4,131580.0,The Way Way Back,The Way Way Back,103,21501098,26 Jul 2013,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1727491,5.7,326.0,"Connected: An Autoblogography About Love, Death & Technology","Connected: An Autoblogography About Love, Death & Technology",82,13304,21 Jan 2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tt1727770,6.0,34199.0,Absolutely Anything,Absolutely Anything,85,673096,12 May 2017,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1727776,6.3,39850.0,Scouts Guide to the Zombie Apocalypse,Scouts Guide to the Zombie Apocalypse,93,3931256,30 Oct 2015,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
