,Distributor,MPAA_Rating,primaryTitle,Opening_Weekend,budget,,'G','GP','M','M/PG','NC-17','Not Yet Rated','PG','PG-13','R','Unknown','Unrated','X'
82,'Bloodvine Media','Unrated',1915,"'$30,448'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
83,'Universal','Not Yet Rated',1917,,'N/A',0,0,0,0,0,0,1,0,0,0,0,0,0
84,'Reliance Films','Unrated',1920 London,,'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
85,'Universal','PG',1941,,'$35 million',0,0,0,0,0,0,0,1,0,0,0,0,0
86,'Menemsha','Unrated',1945,"'$20,365'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
87,'Atlantic','R',1969,"'$1,709,120'",'N/A',0,0,0,0,0,0,0,0,0,1,0,0,0
88,'Samuel Goldwyn','R',1984,"'$29,897'",'N/A',0,0,0,0,0,0,0,0,0,1,0,0,0
89,'Entertainment One','Unrated',1991,"'$328,828'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
90,'Warner Bros.','Unrated',1995 Bugs Bunny Film Festival,"'$7,219'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
91,'Warner Bros.','Unrated',1998 Bugs Bunny Film Festival,"'$12,285'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
92,'Film Movement','Unrated',"2 Autumns, 3 Winters","'$2,163'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
93,'Magnolia','R',2 Days in New York,"'$23,942'",'N/A',0,0,0,0,0,0,0,0,0,1,0,0,0
94,'Samuel Goldwyn','R',2 Days in Paris,"'$173,641'",'N/A',0,0,0,0,0,0,0,0,0,1,0,0,0
95,'MGM','R',2 Days in the Valley,"'$3,352,440'",'N/A',0,0,0,0,0,0,0,0,0,1,0,0,0
96,'Universal','PG-13',2 Fast 2 Furious,"'$50,472,480'",'$76 million',0,0,0,0,0,0,0,0,1,0,0,0,0
97,'Universal','R',2 Guns,"'$27,059,130'",'$61 million',0,0,0,0,0,0,0,0,0,1,0,0,0
98,'Breaking Glass Pictures','Unrated',2 Jacks,,'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
99,'UTV Communications','Unrated',2 States,"'$1,073,898'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
100,'Unknown','Unrated',2.0,"'$2,775,000'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
101,'TLA Releasing','Unrated',20 Centimeters,"'$2,177'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
102,'Fox Searchlight','R',20 Dates,"'$40,244'",'N/A',0,0,0,0,0,0,0,0,0,1,0,0,0
103,'Radius-TWC','PG-13',20 Feet from Stardom,"'$54,596'",'N/A',0,0,0,0,0,0,0,0,1,0,0,0,0
104,'Columbia','Unrated',20 Million Miles to Earth,,'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
105,'CJ Entertainment','Unrated',20 Once Again,"'$92,827'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
106,'Drafthouse','Unrated',"20,000 Days on Earth","'$27,879'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
107,'Vanguardia Films','Unrated',200 Cartas,"'$9,338'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
108,'Paramount','R',200 Cigarettes,"'$3,244,277'",'$6 million',0,0,0,0,0,0,0,0,0,1,0,0,0
109,'MGM','G',2001: A Space Odyssey,,'$12 million',0,1,0,0,0,0,0,0,0,0,0,0,0
110,'Warner Bros.','G',2001: A Space Odyssey (2013 re-release),,'N/A',0,1,0,0,0,0,0,0,0,0,0,0,0
