tconst,primaryTitle,G,GP,M,M/PG,NC-17,Not Yet Rated,PG,PG-13,R,Unknown,Unrated,X,averageRating,numVotes,originalTitle,runtimeMinutes,box office,released,Action,Crime,Drama,Adventure,Romance,Comedy,Sci-Fi,Animation,Family,Thriller,Horror,Mystery,Biography,History,Fantasy,Sport,Music,Documentary,War,Western,Musical,News,Opening_Weekend,budget
tt6225520,The Man Who Invented Christmas,0,0,0,0,0,0,1,0,0,0,0,0,7.0,9117.0,The Man Who Invented Christmas,104,5652908,22 Nov 2017,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1357129,0
tt1977953,The Man Who Shook the Hand of Vicente Fernandez,0,0,0,0,0,0,0,0,0,0,1,0,6.2,265.0,The Man Who Shook the Hand of Vicente Fernandez,99,9890,27 Apr 2012,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3099,0
tt3384180,The Man in 3B,0,0,0,0,0,0,0,0,1,0,0,0,5.1,513.0,The Man in 3B,93,291145,06 Nov 2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109043,0
tt1258972,The Man with the Iron Fists,0,0,0,0,0,0,0,0,1,0,0,0,5.4,57943.0,The Man with the Iron Fists,95,15608545,02 Nov 2012,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7910980,15000000
tt3659388,The Martian,0,0,0,0,0,0,0,1,0,0,0,0,8.0,666852.0,The Martian,144,202313768,02 Oct 2015,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54308575,108000000
tt3103166,The Masked Saint,0,0,0,0,0,0,0,1,0,0,0,0,4.6,553.0,The Masked Saint,105,181609,22 Jan 2016,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123839,0
tt6150238,The Mayor,0,0,0,0,0,0,0,0,0,0,1,0,6.3,295.0,Teukbyulshimin,130,96299,28 Apr 2017,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47128,0
tt1790864,The Maze Runner,0,0,0,0,0,0,0,1,0,0,0,0,6.8,382374.0,The Maze Runner,113,98537272,19 Sep 2014,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32512804,34000000
tt0472399,The Mechanic,0,0,0,0,0,0,0,0,1,0,0,0,6.6,139984.0,The Mechanic,93,29113588,28 Jan 2011,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11422006,40000000
tt1324055,The Mill and the Cross,0,0,0,0,0,0,0,0,0,0,1,0,6.9,3389.0,Mlyn i krzyz,92,185261,18 Mar 2011,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11354,0
