,G,GP,M,M/PG,NC-17,Not Yet Rated,PG,PG-13,R,Unknown,Unrated,X,averageRating,numVotes,runtimeMinutes,box office,Action,Crime,Drama,Adventure,Romance,Comedy,Sci-Fi,Animation,Family,Thriller,Horror,Mystery,Biography,History,Fantasy,Sport,Music,Documentary,War,Western,Musical,News,Opening_Weekend,budget,avg_pos,avg_neg,no_pos_comms,no_neg_comms
15,0,0,0,0,0,0,0,0,0,0,1,0,5.8,2735.0,82,16017,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1869,34981220,0.5614594381035938,-0.4984297570850213,5695,2470
16,0,0,0,0,0,0,0,1,0,0,0,0,5.8,4860.0,92,66371,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105215,9892191,0.5606761049723713,-0.5003816438356165,5792,2920
17,0,0,0,0,0,0,0,1,0,0,0,0,5.9,2042.0,108,104398,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11794,53849819,0.5292621621621626,-0.4955397553516824,481,327
18,0,0,0,0,0,0,0,1,0,0,0,0,4.2,726.0,106,1239307,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609249,61012364,0.5943991304347835,-0.4624148648648646,1035,222
19,0,0,0,0,0,0,0,0,1,0,0,0,5.3,1404.0,90,1279,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234,21154695,0.5739479166666656,-0.5019185344827588,2688,928
20,0,0,0,0,0,0,0,0,1,0,0,0,4.1,857.0,88,14686,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8624,25515284,0.5417454545454544,-0.4777909090909093,110,55
21,0,0,0,0,0,0,0,0,1,0,0,0,6.1,86557.0,83,37100000,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13330118,28000000,0.5644208025343124,-0.4919099322799094,4735,2215
22,0,0,0,0,0,0,0,0,0,0,1,0,7.2,72.0,114,22251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5030,29722275,0.5546132860938828,-0.48937479406919204,4516,2428
23,0,0,0,0,0,0,0,0,1,0,0,0,5.7,1336.0,104,113888,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29808,69408178,0.5668027027026972,-0.5007613074204943,4995,2830
24,0,0,0,0,0,0,0,0,1,0,0,0,6.2,14984.0,110,49328,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12186,9992169,0.5519437185929552,-0.4839212025316436,5970,3160
25,0,0,0,0,0,0,0,1,0,0,0,0,7.5,76714.0,128,95001343,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27487144,40000000,0.5806228619340731,-0.4927917582417575,14312,5824
