,tconst,primaryTitle,G,GP,M,M/PG,NC-17,Not Yet Rated,PG,PG-13,R,Unknown,Unrated,X,averageRating,numVotes,originalTitle,runtimeMinutes,box office,released,Action,Crime,Drama,Adventure,Romance,Comedy,Sci-Fi,Animation,Family,Thriller,Horror,Mystery,Biography,History,Fantasy,Sport,Music,Documentary,War,Western,Musical,News,Opening_Weekend,budget,valid,avg_pos,avg_neg,no_pos_comms,no_neg_comms
23,tt1652287,35 and Ticking,0,0,0,0,0,0,0,0,1,0,0,0,5.7,1336.0,35 and Ticking,104,113888,20 May 2011,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29808,0,True,0.5668027027026972,-0.5007613074204943,4995,2830
24,tt1680045,360,0,0,0,0,0,0,0,0,1,0,0,0,6.2,14984.0,360,110,49328,25 Jul 2012,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12186,0,True,0.5519437185929552,-0.4839212025316436,5970,3160
25,tt0453562,42,0,0,0,0,0,0,0,1,0,0,0,0,7.5,76714.0,42,128,95001343,12 Apr 2013,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27487144,40000000,True,0.5806228619340731,-0.49279175824175747,14312,5824
26,tt3544082,45 Years,0,0,0,0,0,0,0,0,1,0,0,0,7.1,27582.0,45 Years,91,3489919,28 Aug 2015,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65775,0,True,0.5851689189189183,-0.559077192982456,370,285
27,tt2932536,47 Meters Down,0,0,0,0,0,0,0,1,0,0,0,0,5.6,37790.0,47 Meters Down,89,44305642,16 Jun 2017,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11205561,0,True,0.5401764807360581,-0.5198452631578956,8695,5700
28,tt1335975,47 Ronin,0,0,0,0,0,0,0,1,0,0,0,0,6.3,134127.0,47 Ronin,128,20518224,25 Dec 2013,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9910310,175000000,True,0.5349546610169501,-0.49633694029850695,1888,1072
29,tt1486193,5 Days of War,0,0,0,0,0,0,0,0,1,0,0,0,5.6,13024.0,5 Days of War,113,17243,06 Jun 2011,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6254,12000000,True,0.5254965000000008,-0.5680371527777773,1000,1440
30,tt2486678,5 to 7,0,0,0,0,0,0,0,0,1,0,0,0,7.1,16257.0,5 to 7,95,117066,12 Feb 2015,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18006,0,True,0.5449164835164837,-0.495340235294119,2912,1700
31,tt1777595,50 to 1,0,0,0,0,0,0,0,1,0,0,0,0,6.6,1710.0,50 to 1,110,1063723,21 Mar 2014,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78480,0,True,0.5434943255813951,-0.4911439065108519,3225,1797
32,tt1306980,50/50,0,0,0,0,0,0,0,0,1,0,0,0,7.7,298386.0,50/50,100,35005118,30 Sep 2011,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8644095,8000000,True,0.5559418423106943,-0.49303372262773854,3843,2055
33,tt0865561,6 Month Rule,0,0,0,0,0,0,0,0,1,0,0,0,4.9,592.0,6 Month Rule,100,11158,07 Aug 2012,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1963,0,True,0.5003962962962959,-0.5385702702702705,270,185
34,tt4424722,7 Witches,0,0,0,0,0,1,0,0,0,0,0,0,3.6,629.0,7 Witches,75,31100,14 Apr 2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1875,0,True,0.5559418423106943,-0.49303372262773854,3843,2055
35,tt1484522,8: The Mormon Proposition,0,0,0,0,0,0,0,0,1,0,0,0,7.0,1185.0,8: The Mormon Proposition,80,99851,24 Jan 2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,42566,0,True,0.5901932098765438,-0.5672069620253163,810,790
36,tt4917224,9/11,0,0,0,0,0,0,0,0,1,0,0,0,4.1,2499.0,9/11,90,120500,07 Sep 2017,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170000,0,True,0.5496743661971758,-0.5228587071240094,5325,3790
37,tt6359956,A Bad Moms Christmas,0,0,0,0,0,0,0,0,1,0,0,0,5.5,31932.0,A Bad Moms Christmas,104,72080547,01 Nov 2017,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16759161,28000000,True,0.5294045951859949,-0.5069600543478249,2285,1840
38,tt4504040,A Ballerina's Tale,0,0,0,0,0,0,0,0,0,0,1,0,6.4,584.0,A Ballerina's Tale,85,93891,14 Oct 2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9388,0,True,0.5448078947368425,-0.5137075376884424,1596,1194
39,tt2064713,A Band Called Death,0,0,0,0,0,0,0,0,0,0,1,0,7.5,3254.0,A Band Called Death,96,125856,28 Jun 2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,34839,0,True,0.5133230215827331,-0.5286876288659805,695,485
40,tt2611160,A Beautiful Now,0,0,0,0,0,0,0,0,1,0,0,0,5.5,72.0,A Beautiful Now,90,1504,02 Sep 2016,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,148,0,True,0.5414064748201439,-0.5081170731707314,2224,1640
41,tt2800050,A Beautiful Planet,1,0,0,0,0,0,0,0,0,0,0,0,7.5,818.0,A Beautiful Planet,46,7437581,29 Apr 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,223983,0,True,0.5379461329715057,-0.5031276923076924,2211,1560
42,tt4058122,A Beginner's Guide to Snuff,0,0,0,0,0,1,0,0,0,0,0,0,4.9,276.0,A Beginner's Guide to Snuff,87,5204,04 Mar 2016,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5204,0,True,0.5393319371727726,-0.5042160984848478,3820,2640
